,,,HOW TO USE THIS FILE
,,,Above the below table are indicated the sample sizes of the null hypotheses used to generate it
,,,as well as the number of independent simulations of the null hypothesis used.
,,,"To find the p-value corresponding to your MIC score, look for the largest number less than your"
,,,score in the left-hand column. The p-value of your score is at most the number in the middle
,,,column of that row + the uncertainty listed in the right column of the same row.

,,,**Note that these p-values are uncorrected. This means that you must correct the p-value you
,,,obtain here to account for the number of tests you performed. We suggest doing this by
,,,controlling the false discovery rate.

n = 35, numTrials = 30000000
MIC >= x,gives p <= y,+/- (with 95% confidence)
0.920700,0.000000256,0.000000181
0.898050,0.000000512,0.000000256
0.887970,0.000000768,0.000000314
0.885120,0.000001024,0.000000362
0.881070,0.000001537,0.000000444
0.870450,0.000001793,0.000000479
0.870000,0.000002305,0.000000543
0.863550,0.000002561,0.000000573
0.861280,0.000003073,0.000000627
0.860700,0.000003585,0.000000678
0.857530,0.000004098,0.000000724
0.854090,0.000004866,0.000000789
0.850910,0.000005378,0.000000830
0.847970,0.000005890,0.000000868
0.845220,0.000006659,0.000000923
0.842640,0.000007171,0.000000958
0.841980,0.000007939,0.000001008
0.840210,0.000008195,0.000001024
0.827980,0.000008452,0.000001040
0.818020,0.000009220,0.000001087
0.809880,0.000010500,0.000001160
0.804140,0.000010756,0.000001174
0.803560,0.000011013,0.000001188
0.802900,0.000012549,0.000001268
0.798180,0.000013830,0.000001331
0.793770,0.000014086,0.000001343
0.790820,0.000015623,0.000001414
0.786700,0.000015879,0.000001426
0.785640,0.000016135,0.000001437
0.784840,0.000016391,0.000001449
0.783070,0.000018184,0.000001526
0.782450,0.000018440,0.000001537
0.781990,0.000018696,0.000001547
0.778820,0.000021001,0.000001640
0.777280,0.000021257,0.000001650
0.775510,0.000023562,0.000001737
0.772030,0.000023818,0.000001746
0.770830,0.000025098,0.000001793
0.769640,0.000025611,0.000001811
0.769350,0.000028940,0.000001925
0.767980,0.000029196,0.000001934
0.766790,0.000029452,0.000001942
0.764810,0.000030477,0.000001975
0.763730,0.000030989,0.000001992
0.763270,0.000033550,0.000002073
0.761500,0.000037648,0.000002196
0.760880,0.000038160,0.000002211
0.758200,0.000038416,0.000002218
0.757570,0.000038672,0.000002225
0.756830,0.000039184,0.000002240
0.756170,0.000043282,0.000002354
0.755710,0.000043538,0.000002361
0.755250,0.000044563,0.000002389
0.754390,0.000044819,0.000002396
0.753970,0.000045075,0.000002402
0.752790,0.000045331,0.000002409
0.752500,0.000046355,0.000002436
0.751120,0.000046611,0.000002443
0.750950,0.000046868,0.000002450
